room_id|showtime_id|booked
PHONG_001|SUATCHIEU_20251107_0001|
PHONG_001|SUATCHIEU_20251107_0002|
PHONG_002|SUATCHIEU_20251107_0004|
PHONG_003|SUATCHIEU_20251107_0007|
PHONG_004|SUATCHIEU_20251107_0010|
PHONG_005|SUATCHIEU_20251107_0013|
PHONG_006|SUATCHIEU_20251107_0016|
PHONG_001|SUATCHIEU_20251107_0003|
PHONG_006|SUATCHIEU_20251107_0017|
PHONG_003|SUATCHIEU_20251110_0027|
PHONG_003|SUATCHIEU_20251107_0027|
PHONG_002|SUATCHIEU_20251109_0023|
PHONG_003|SUATCHIEU_20251108_0026|
PHONG_005|SUATCHIEU_20251107_0014|
PHONG_002|SUATCHIEU_20251107_0005|
PHONG_001|SUATCHIEU_20251109_0003|H6, H5, H7, H8, H4, H3, I3, I4
PHONG_001|SUATCHIEU_20251108_0002|
PHONG_002|SUATCHIEU_20251107_0006|
PHONG_002|SUATCHIEU_20251109_0006|
PHONG_003|SUATCHIEU_20251107_0025|
PHONG_001|SUATCHIEU_20251109_0002|I5, I6
PHONG_001|SUATCHIEU_20251109_0001|
PHONG_004|SUATCHIEU_20251109_0011|I6, I5
PHONG_002|SUATCHIEU_20251109_0005|H5, H4
PHONG_004|SUATCHIEU_20251109_0029|H6, H5, H4
