showtime_id|movie_id|room_id|date|time|price
SUATCHIEU_20251127_0001|F0001|PHONG_001|2025-11-27|09:00|65000
SUATCHIEU_20251127_0002|F0002|PHONG_001|2025-11-27|11:20|65000
SUATCHIEU_20251127_0003|F0003|PHONG_001|2025-11-27|13:50|70000
SUATCHIEU_20251127_0004|F0004|PHONG_001|2025-11-27|16:10|70000
SUATCHIEU_20251127_0005|F0005|PHONG_001|2025-11-27|18:20|75000
SUATCHIEU_20251127_0006|F0006|PHONG_001|2025-11-27|21:30|80000
SUATCHIEU_20251127_0007|F0008|PHONG_002|2025-11-27|09:20|65000
SUATCHIEU_20251127_0008|F0009|PHONG_002|2025-11-27|11:40|65000
SUATCHIEU_20251127_0009|F0010|PHONG_002|2025-11-27|14:10|70000
SUATCHIEU_20251127_0010|F0001|PHONG_002|2025-11-27|16:30|70000
SUATCHIEU_20251127_0011|F0002|PHONG_002|2025-11-27|18:50|75000
SUATCHIEU_20251127_0012|F0003|PHONG_002|2025-11-27|21:20|80000
SUATCHIEU_20251127_0013|F0005|PHONG_003|2025-11-27|09:40|65000
SUATCHIEU_20251127_0014|F0006|PHONG_003|2025-11-27|12:50|70000
SUATCHIEU_20251127_0015|F0007|PHONG_003|2025-11-27|14:50|70000
SUATCHIEU_20251127_0016|F0008|PHONG_003|2025-11-27|17:00|75000
SUATCHIEU_20251127_0017|F0009|PHONG_003|2025-11-27|19:20|75000
SUATCHIEU_20251127_0018|F0010|PHONG_003|2025-11-27|21:50|80000
SUATCHIEU_20251127_0019|F0003|PHONG_004|2025-11-27|10:00|65000
SUATCHIEU_20251127_0020|F0004|PHONG_004|2025-11-27|12:20|70000
SUATCHIEU_20251127_0021|F0005|PHONG_004|2025-11-27|14:30|70000
SUATCHIEU_20251127_0022|F0006|PHONG_004|2025-11-27|17:40|75000
SUATCHIEU_20251127_0023|F0007|PHONG_004|2025-11-27|19:40|75000
SUATCHIEU_20251127_0024|F0008|PHONG_004|2025-11-27|21:50|80000
SUATCHIEU_20251127_0025|F0010|PHONG_005|2025-11-27|10:20|65000
SUATCHIEU_20251127_0026|F0001|PHONG_005|2025-11-27|12:40|70000
SUATCHIEU_20251127_0027|F0002|PHONG_005|2025-11-27|15:00|70000
SUATCHIEU_20251127_0028|F0003|PHONG_005|2025-11-27|17:30|75000
SUATCHIEU_20251127_0029|F0004|PHONG_005|2025-11-27|19:50|75000
SUATCHIEU_20251127_0030|F0006|PHONG_006|2025-11-27|10:40|65000
SUATCHIEU_20251127_0031|F0007|PHONG_006|2025-11-27|12:40|70000
SUATCHIEU_20251127_0032|F0008|PHONG_006|2025-11-27|14:50|70000
SUATCHIEU_20251127_0033|F0009|PHONG_006|2025-11-27|17:10|75000
SUATCHIEU_20251127_0034|F0010|PHONG_006|2025-11-27|19:40|75000
SUATCHIEU_20251127_0035|F0001|PHONG_006|2025-11-27|22:00|80000
SUATCHIEU_20251127_0001|F0001|PHONG_001|2025-11-27|18:30|75000
SUATCHIEU_20251127_0002|F0002|PHONG_001|2025-11-27|20:50|80000
SUATCHIEU_20251127_0003|F0004|PHONG_002|2025-11-27|18:30|75000
SUATCHIEU_20251127_0004|F0005|PHONG_002|2025-11-27|20:40|80000
SUATCHIEU_20251127_0005|F0007|PHONG_003|2025-11-27|18:30|75000
SUATCHIEU_20251127_0006|F0008|PHONG_003|2025-11-27|20:40|80000
SUATCHIEU_20251127_0007|F0010|PHONG_004|2025-11-27|18:30|75000
SUATCHIEU_20251127_0008|F0001|PHONG_004|2025-11-27|21:00|80000
SUATCHIEU_20251127_0009|F0003|PHONG_005|2025-11-27|18:30|75000
SUATCHIEU_20251127_0010|F0006|PHONG_005|2025-11-27|20:50|80000
SUATCHIEU_20251127_0011|F0008|PHONG_006|2025-11-27|18:30|75000
SUATCHIEU_20251127_0012|F0009|PHONG_006|2025-11-27|20:50|80000
